20150324_10:56,CatastrophicChecks_integration,PASS,0,0,0,0,0,,SUMMARY,Maria Garcia-Bodoh,
20150324_11:17,PreRequisite,Browse to NG7 deployment <site>,TEST STEP DATA: site=https://integration.ng7.io/#/login  browser=prod,Pass,catastrophic check,,,4947
20150324_11:17,PreRequisite,Check that the Username field is displayed,,Pass,catastrophic check,,,12054
20150324_11:17,PreRequisite,Check that the Password field is displayed,,Pass,catastrophic check,,,2046
20150324_11:17,PreRequisite,Check that the forgot password text is displayed,,Pass,catastrophic check,,,2078
20150324_11:17,PreRequisite,Attempt to log on with invalid credentials <invalidUser / invalidPassword>,TEST STEP DATA: invalidUser = tester1 / invalidPassword = cupcake,Pass,,,,2425
20150324_11:17,PreRequisite,Check the invalid login messages pop up for the invalid password login attempt,,Pass,doNotDeliver check,,,2041
20150324_11:17,PreRequisite,Attempt to log into NG7 with valid credentials,,Pass,catastrophic check,,,5409
20150324_11:17,PreRequisite,Check if User Password Expired Screen is displayed,,Pass,catastrophic check,,,3042
20150324_11:17,PreRequisite,Click on Menu pulldown,,Pass,catastrophic check,catastrophic check,,4177
20150324_11:17,PreRequisite,Check Menu opens,,Pass,catastrophic check,,,10061
20150324_11:17,PreRequisite,Log out user,,Pass,,,,5236
20150324_11:17,PreRequisite,Check that logout completed by checking login page is displayed,,Pass,doNotDeliver check,,,10031
20150324_11:17,PreRequisite,PASS,12,0,0,0,0,,SUMMARY,Maria Garcia-Bodoh,
20150324_11:17,UIRecon_MainPage,If layout selector comes up select Staff Layout,,Pass,,,,12111
20150324_11:17,UIRecon_MainPage,Log in to NG7,TEST STEP DATA: regionTested = https://integration.ng7.io/#/login,Pass,,,,3062
20150324_11:17,UIRecon_MainPage,Check that the Status icon is displayed and is active,,Pass,,,,2045
20150324_11:17,UIRecon_MainPage,Click Menu button and check Menu opens,,Pass,,,,8283
20150324_11:17,UIRecon_MainPage,Click Locations field and check Location Status pulldown opens,,Pass,,,,8373
20150324_11:17,UIRecon_MainPage,Click User Status button and check User Status pulldown opens,,Pass,,,,8219
20150324_11:17,UIRecon_MainPage,Check that build number displays,TEST STEP DATA: build= -,Pass,doNotDeliver check,,,173
20150324_11:17,UIRecon_MainPage,Check that elapsed connection time displays,TEST STEP DATA: time=00:00:00,Pass,,,,94
20150324_11:17,UIRecon_MainPage,Check the Scheduling Notifications widget is visible,,Pass,,,,2078
20150324_11:17,UIRecon_MainPage,Check the Scheduler button/widget is visible,,Pass,,,,2094
20150324_11:17,UIRecon_MainPage,Click the Scheduler widget Resource field and check the Resource pulldown list is not empty,,Pass,,,,8373
20150324_11:17,UIRecon_MainPage,PASS,11,0,0,0,0,,SUMMARY,Maria Garcia-Bodoh,
20150324_11:17,UIRecon_PatientCenter,If layout selector comes up select Staff Layout,,Pass,,,,12155
20150324_11:17,UIRecon_PatientCenter,Log in to NG7,TEST STEP DATA: regionTested = https://integration.ng7.io/#/login,Pass,,,,3060
20150324_11:17,UIRecon_PatientCenter,Set service location to <location>,TEST STEP DATA: location = GenHealth Enterprises  Inc. (GHEnt);GenHealth Hospital (GHH);GenHealth Central Hospital (GCH),Pass,,,,31
